"logFC","logCPM","LR","PValue","FDR","gene","Category"
-1.06082902761713,12.7259268678973,42.0040799736862,9.10831765122247e-11,8.0923899132015e-10,"CTSD","Unique NAWM vs WM_line_Lesion_2"
-0.941092988339608,12.1806777546662,37.3606003060024,9.81857585890844e-10,8.10032508359947e-09,"HLA-B","Unique NAWM vs WM_line_Lesion_2"
-0.851262179462039,12.2614829065648,32.4558280592663,1.21932731801762e-08,9.08595517619578e-08,"CD74","Unique NAWM vs WM_line_Lesion_2"
-0.780267407093034,12.0967222746221,27.5207851596739,1.55415271321326e-07,8.34905294772703e-07,"C1QB","Unique NAWM vs WM_line_Lesion_2"
0.779875980153401,11.9240589001051,23.254741260524,1.41900194577396e-06,7.12585759725621e-06,"FAM107A","Unique NAWM vs WM_line_Lesion_2"
0.792768576704925,11.7458609885372,22.7841032591553,1.81258832061245e-06,8.90867876726546e-06,"NDRG2","Unique NAWM vs WM_line_Lesion_2"
-0.969277210522026,11.9146959303301,18.4602016438434,1.73489621176841e-05,7.15644687354469e-05,"NRGN","Unique NAWM vs WM_line_Lesion_2"
-0.631506646853108,12.0484556935622,16.7811719470415,4.19474502716097e-05,0.000161497683545698,"RPS2","Unique NAWM vs WM_line_Lesion_2"
-0.68820622588254,12.0321549578922,15.3249861439154,9.05114088613e-05,0.000334047280855344,"SYP","Unique NAWM vs WM_line_Lesion_2"
-0.644612116521078,11.6190490366805,15.3126620884182,9.11038038696392e-05,0.000334047280855344,"C3","Unique NAWM vs WM_line_Lesion_2"
-0.773235966751497,11.9818628405568,14.7244682561534,0.000124421066663018,0.000436841319300004,"BASP1","Unique NAWM vs WM_line_Lesion_2"
-0.77122926158751,11.6358533875338,13.8458789160485,0.000198431434495937,0.000654823733836592,"IDS","Unique NAWM vs WM_line_Lesion_2"
-0.567074061063789,12.0817061306119,13.7612771673744,0.000207570930796659,0.000675336408648286,"BRI3","Unique NAWM vs WM_line_Lesion_2"
0.520963289857173,12.3034728563181,13.2778088664263,0.000268566201270234,0.000849846472512657,"RPL37A","Unique NAWM vs WM_line_Lesion_2"
0.593067955984892,11.7869111800813,13.126690938163,0.000291118492683354,0.000908761781214255,"DNAJB2","Unique NAWM vs WM_line_Lesion_2"
-0.563122552151587,12.4200934637658,13.0268793834759,0.000307051777689893,0.000945719475284871,"OAZ1","Unique NAWM vs WM_line_Lesion_2"
0.616812122260656,11.6148974615375,11.7631857923825,0.000604137365671749,0.00163436283088952,"MT3","Unique NAWM vs WM_line_Lesion_2"
0.521076285054801,11.7532016939891,11.7499030223238,0.000608464084227267,0.00163436283088952,"RPL37","Unique NAWM vs WM_line_Lesion_2"
0.531660440896173,11.6848922063268,11.400494637855,0.000734245532203656,0.00194954848205798,"RPL22","Unique NAWM vs WM_line_Lesion_2"
-0.553828329632592,11.9384097068055,10.7851962164268,0.00102315058081639,0.0026469907199318,"TMEM106C","Unique NAWM vs WM_line_Lesion_2"
-0.560165519086738,12.0042014233973,10.7519668768576,0.00104168550463777,0.0026469907199318,"NPIPA1","Unique NAWM vs WM_line_Lesion_2"
0.492365984838013,11.8718038257388,10.7298450223846,0.00105421275425855,0.0026469907199318,"RPL31","Unique NAWM vs WM_line_Lesion_2"
0.473263524736133,11.8994644889896,10.4823522152868,0.00120520215550703,0.00299356664432391,"RPL30","Unique NAWM vs WM_line_Lesion_2"
0.478356663242016,12.0019256536534,10.1059386922381,0.00147792295472252,0.00363191704830747,"STIP1","Unique NAWM vs WM_line_Lesion_2"
0.51903272897362,11.5367878655823,9.52297659869777,0.00202915189827293,0.00482154013659272,"CHORDC1","Unique NAWM vs WM_line_Lesion_2"
-0.47793348024109,11.817826288053,9.43959871120443,0.00212349952266079,0.00495483221954184,"GPX1","Unique NAWM vs WM_line_Lesion_2"
-0.578828461647798,11.955916237455,8.81053196949107,0.00299496701795825,0.0067827194230231,"SPARCL1","Unique NAWM vs WM_line_Lesion_2"
-0.476717212907658,12.3110818759574,8.31616705637926,0.00392937489209386,0.0086446247626065,"DELE1","Unique NAWM vs WM_line_Lesion_2"
0.47644478569442,11.6221871286087,8.06899387468931,0.00450291128015232,0.00972123837116997,"EIF1","Unique NAWM vs WM_line_Lesion_2"
-0.497445450676548,11.5601780122169,7.95704005029671,0.00479006863493625,0.0102454245802803,"MACROH2A1","Unique NAWM vs WM_line_Lesion_2"
-0.640113056896168,11.4962153144723,7.93481355251862,0.00484926235634008,0.0102768771038033,"UCHL1","Unique NAWM vs WM_line_Lesion_2"
0.453295970858175,11.5939426820725,7.74599732460455,0.00538317228212342,0.0113046617924592,"CLK1","Unique NAWM vs WM_line_Lesion_2"
-0.415663654362411,11.7355318871674,7.25450217386231,0.00707234748934219,0.0145867166967683,"B2M","Unique NAWM vs WM_line_Lesion_2"
0.453851957139185,11.8617577741425,7.07448541717574,0.00781892733922609,0.0158588851250982,"PEA15","Unique NAWM vs WM_line_Lesion_2"
-0.42355002678796,11.9388360308029,7.07275942975558,0.00782646278900951,0.0158588851250982,"CXCR4","Unique NAWM vs WM_line_Lesion_2"
-0.448036399499753,11.7476026627484,6.75482353562853,0.00934945924556517,0.0186183197045306,"MKNK2","Unique NAWM vs WM_line_Lesion_2"
0.380015519520158,12.1174901419629,6.64665368166943,0.00993422285308855,0.0196137220432774,"RPL6","Unique NAWM vs WM_line_Lesion_2"
0.370121357298164,12.2259862777003,6.39356116124073,0.0114535025531883,0.0224216872015806,"RPL34","Unique NAWM vs WM_line_Lesion_2"
-0.456602317488603,11.7039199753723,6.22441749281056,0.0126000353725904,0.024458892193852,"CAMKMT","Unique NAWM vs WM_line_Lesion_2"
-0.371834426648355,12.0114551239695,6.03976912963039,0.013987113259078,0.0269251930237251,"HLA-E","Unique NAWM vs WM_line_Lesion_2"
0.36068501878862,12.092204695847,6.0160549631775,0.0141763012672852,0.0270638478739082,"RPL19","Unique NAWM vs WM_line_Lesion_2"
-0.417448040534053,11.8353809745512,5.9673974811959,0.0145727728629711,0.0275927092733304,"RPL15","Unique NAWM vs WM_line_Lesion_2"
-0.359254621359905,12.1880023346118,5.89416287451951,0.0151911486376847,0.0285297181732127,"CD81","Unique NAWM vs WM_line_Lesion_2"
-0.40611996516837,11.7317966578254,5.81068286859225,0.0159291076986357,0.0294369910270788,"VEGFB","Unique NAWM vs WM_line_Lesion_2"
-0.440248461770452,11.6409671263114,5.69598202655567,0.017003795377054,0.0311736248579323,"PMFBP1","Unique NAWM vs WM_line_Lesion_2"
-0.42291403291252,12.255192418048,5.48727233004853,0.0191554056316,0.0348417220543276,"ALDOA","Unique NAWM vs WM_line_Lesion_2"
-0.406914607663002,11.748668707195,5.32604359671255,0.0210090241529495,0.037914723276026,"ATP6V0B","Unique NAWM vs WM_line_Lesion_2"
0.335303004291914,11.9527099978215,5.25715956137037,0.0218566618711093,0.0391386735831492,"RPLP2","Unique NAWM vs WM_line_Lesion_2"
-0.381702173670597,11.5606556693591,4.95801604995732,0.0259699862314571,0.0461466678420508,"HMOX1","Unique NAWM vs WM_line_Lesion_2"
0.402748416684519,11.6699861136153,4.83767573973881,0.0278443995833218,0.0490996664408193,"RTN3","Unique NAWM vs WM_line_Lesion_2"
